#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
39138420,0.24,-0.263,0.962,51.415,43.365,-66.832,
39138420,0.268,0.198,0.444,73.01,57.12,-87.99,
39138440,0.414,1.132,0.261,96.442,82.635,-89.215,
39138440,0.046,1.891,0.395,95.13,80.71,-76.755,
39138460,0.018,1.997,0.976,108.85,23.135,-91.735,
39138460,0.369,0.258,1.798,91.105,-15.382,-115.64,
39138480,1.039,-1.998,1.434,261.922,23.887,-185.692,
39138480,-1.476,-1.087,1.2,448.437,-39.2,-202.212,
39138500,1.061,1.44,0.611,473.725,-76.982,-36.05,
39138500,1.55,0.569,1.614,455.542,-28.28,65.432,
39138510,0.208,0.14,1.956,354.917,85.522,-1.802,
39138520,-1.675,1.976,0.526,249.2,103.915,1.155,
39138530,-0.768,1.163,0.513,99.452,16.537,4.165,
39138540,-0.491,0.372,1.042,-54.88,-38.867,-10.5,
39138550,0.216,-0.01,1.034,-41.37,-55.177,0.017,
39138560,-0.055,-0.03,0.991,-30.94,-41.72,4.427,
39138570,0.195,-0.072,1.052,-29.277,-32.217,5.53,
39138580,0.09,0.089,0.993,-10.657,-20.825,7.98,
39138590,0.103,0.043,1.011,-0.105,-11.847,10.955,
39138600,0.056,0.175,0.988,12.407,-5.197,9.712,
39138610,0.042,0.229,0.962,12.792,-0.822,8.207,
39138620,0.055,0.174,0.992,4.725,2.467,5.267,
39138630,-0.017,0.237,0.964,2.1,5.547,4.497,
39138640,-0.005,0.2,0.987,-7.192,6.93,3.43,
39138650,-0.047,0.262,0.986,-12.582,7.052,0.647,
39138660,-0.085,0.265,0.994,-19.88,5.302,-2.415,
39138670,0.015,0.26,1.021,-29.137,2.712,-6.16,
39138680,-0.003,0.249,1.05,-38.937,3.5,-9.17,
